target_id	length	eff_length	est_counts	tpm
Phel_contig_10372	1940	1600.88	28	1.88518
Phel_contig_10373	1004	664.88	53	8.59182
Phel_contig_10374	1390	1050.88	19	1.94874
Phel_contig_10375	1203	863.88	0	0
Phel_contig_10376	2201	1861.88	851.401	49.2873
Phel_contig_10377	691	372.968	143	41.3254
Phel_contig_10378	1817	1477.88	161.666	11.7905
Phel_contig_10379	2937	2597.88	80.7826	3.35159
Phel_contig_10380	1172	832.88	206.099	26.6713
Phel_contig_10381	1309	969.88	151.587	16.846
Phel_contig_10382	554	259.199	0	0
Phel_contig_10383	934	596.766	0	0
Phel_contig_10384	890	554.842	77.4684	15.049
Phel_contig_10385	2413	2073.88	516	26.8175
Phel_contig_10388	747	422.329	172.114	43.9255
Phel_contig_10389	2143	1803.88	18	1.07552
Phel_contig_1039	2452	2112.88	1467.89	74.8809
Phel_contig_10390	2726	2386.88	385	17.3853
Phel_contig_10391	535	244.648	16.861	7.42838
Phel_contig_10392	1308	968.88	354	39.3809
Phel_contig_10393	953	615.039	26.0438	4.56409
Phel_contig_10394	532	242.452	14	6.22378
Phel_contig_10395	1448	1108.88	198	19.2457
Phel_contig_10396	755	429.683	67	16.8066
Phel_contig_10397	533	243.145	15	6.64934
Phel_contig_10398	3087	2747.88	244	9.57072
Phel_contig_10399	1002	662.88	20	3.25198
Phel_contig_104	10168	9828.88	18559.9	203.528
Phel_contig_1040	2449	2109.88	506.354	25.8672
Phel_contig_10400	1118	778.88	143	19.7887
Phel_contig_10401	618	310.398	0	0
Phel_contig_10402	1538	1198.88	460.871	41.4339
Phel_contig_10403	1211	871.88	104	12.8567
Phel_contig_10404	1473	1133.88	314.445	29.8903
Phel_contig_10405	1625	1285.88	28	2.34698
Phel_contig_10406	4282	3942.88	503.282	13.7578
Phel_contig_10407	2452	2112.88	311.847	15.9081
Phel_contig_10408	2539	2199.88	129.457	6.34275
Phel_contig_10409	3466	3126.88	775	26.7143
Phel_contig_1041	4487	4147.88	3873	100.641
Phel_contig_10410	617	309.524	104	36.2153
Phel_contig_10411	4900	4560.88	226	5.34087
Phel_contig_10412	1593	1253.88	635.347	54.6145
Phel_contig_10413	3948	3608.88	278	8.30281
Phel_contig_10414	1595	1255.88	413.727	35.5073
Phel_contig_10415	2239	1899.88	215	12.1973
Phel_contig_10416	1897	1557.88	90	6.22674
Phel_contig_10417	1339	999.88	166.771	17.9774
Phel_contig_10418	610	303.774	11	3.90296
Phel_contig_10419	1005	665.88	20.6786	3.34716
Phel_contig_1042	1592	1252.88	90.62	7.79592
Phel_contig_10420	529	240.127	56	25.1362
Phel_contig_10421	740	415.943	206	53.3808
Phel_contig_10422	511	226.913	9	4.27499
Phel_contig_10423	525	237.149	8	3.63598
Phel_contig_10424	2375	2035.88	123	6.51187
Phel_contig_10425	4090	3750.88	1386	39.8275
Phel_contig_10426	2641	2301.88	42.551	1.99241
Phel_contig_10427	738	414.136	175.85	45.7669
Phel_contig_10428	1733	1393.88	36	2.78375
Phel_contig_10429	1370	1030.88	51	5.3323
Phel_contig_1043	604	298.819	2455	885.514
Phel_contig_10430	662	347.468	153	47.4601
Phel_contig_10431	1476	1136.88	69.8817	6.62524
Phel_contig_10432	1356	1016.88	3	0.317983
Phel_contig_10433	3438	3098.88	188	6.53891
Phel_contig_10434	586	284.056	16	6.07112
Phel_contig_10435	1194	854.88	143.603	18.1055
Phel_contig_10436	957	618.931	36	6.26921
Phel_contig_10437	650	337.043	21.0834	6.74232
Phel_contig_10438	5271	4931.88	189.92	4.15061
Phel_contig_10439	1116	776.88	77.4614	10.7469
Phel_contig_1044	852	519.095	254.115	52.7638
Phel_contig_10440	714	393.099	23	6.30636
Phel_contig_10441	3456	3116.88	166	5.74038
Phel_contig_10442	1006	666.88	84.2226	13.6124
Phel_contig_10443	1294	954.88	15	1.69315
Phel_contig_10444	3383	3043.88	2138.52	75.7248
Phel_contig_10445	669	353.518	92	28.0498
Phel_contig_10446	1227	887.88	106	12.8678
Phel_contig_10447	502	220.323	2	0.978416
Phel_contig_10448	1649	1309.88	288	23.6981
Phel_contig_10449	694	375.626	40.9014	11.7364
Phel_contig_1045	1529	1189.88	273.59	24.7828
Phel_contig_10450	616	308.682	20	6.98347
Phel_contig_10451	1417	1077.88	40	3.99983
