PSC.0177	PSC.0186	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0230	PSC.0149	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g11131.t1	0	3	0	3	11	0	3	1	1	0	1	0	1	4
g14340.t1	350	22	92	170	117	61	83	998	651	744	3678	1030	814	2857
g1096.t1	36	63	54	45	64	39	55	94	57	24	15	9	29	3
g4450.t1	7	0	0	9	8	0	0	0	2	0	0	5	0	1
g20201.t1	0	1	3	69	4	1	12	0	5	0	1	0	1	2
g17458.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g15074.t1	0	1	2	0	4	1	0	1	2	2	2	0	10	1
g6479.t1	509	499	759	636	727	539	1068	474	435	602	992	390	554	893
g2456.t1	17	0	0	5	10	0	1	1	0	6	87	1	3	239
g1315.t1	252	265	209	168	354	280	409	222	436	124	189	170	244	163
g23518.t1	16	20	0	9	1	30	0	30	12	8	19	18	18	0
g15808.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g15270.t3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g711.t1	14	15	18	25	32	25	33	9	2	58	43	1	36	48
g9942.t1	59	87	107	96	113	73	76	39	18	59	47	14	28	47
g4356.t1	17	37	23	9	0	3	53	9	2	7	4	4	2	0
g18446.t1	0	0	0	1	0	1	2	0	3	0	0	0	1	0
g4706.t1	0	1	1	1	0	2	4	1	2	14	2	0	3	6
g4841.t1	380	346	321	314	291	261	444	773	852	513	457	673	963	725
g7836.t1	8	24	17	19	51	25	9	15	4	11	15	3	5	7
g12752.t1	14	26	22	73	21	23	50	5	9	361	141	2	157	112
g272.t1	5	3	4	22	0	6	12	0	2	19	27	8	15	41
g20018.t1	9	12	1	1	17	8	13	47	24	1757	680	54	779	128
g23689.t1	65	78	76	46	60	71	81	29	15	24	35	8	43	7
g14467.t1	0	1	0	1	0	0	3	3	1	0	0	1	1	0
g4272.t2	18	4	0	0	0	10	9	6	6	13	0	1	15	0
g23285.t1	260	176	240	184	232	180	252	342	284	271	277	237	532	273
g13192.t1	8	21	23	16	14	14	28	9	10	15	9	4	5	2
g2760.t2	3	0	0	5	0	32	3	10	0	0	8	0	0	0
g18232.t1	34	49	86	70	109	49	106	60	64	134	117	190	150	400
g15489.t1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
g17327.t1	6	9	7	29	20	3	12	12	77	9	28	45	13	6
g22615.t1	9	27	18	37	38	35	20	15	12	56	16	4	39	24
g5699.t1	54	135	89	98	19	51	110	17	26	82	64	5	41	29
g21130.t2	0	34	61	9	0	0	0	0	0	0	0	0	0	30
g23243.t1	241	149	95	129	324	153	189	132	141	38	63	38	70	51
g1401.t1	0	0	10	0	0	0	4	0	0	0	0	0	0	0
g20355.t1	2398	2588	2731	2582	4459	2028	2766	2783	3570	3577	2602	2868	3488	3618
g14139.t1	56	212	71	90	153	155	229	2	123	32	68	9	42	18
g587.t1	169	215	170	158	68	149	347	242	137	227	259	187	326	280
g9321.t1	29	66	62	37	24	18	63	12	22	30	23	5	19	23
g22350.t1	24	27	28	17	23	51	39	0	37	235	70	10	160	97
g21345.t1	0	0	0	1	4	3	1	0	0	2	2	2	1	1
g13299.t1	36	25	21	33	24	32	30	23	25	22	31	10	33	32
g12674.t1	6	13	9	15	14	11	28	4	0	22	0	0	2	4
g9563.t1	2	0	2	0	0	0	5	0	0	0	0	0	2	0
g12950.t1	42	18	41	16	8	12	44	14	20	9	3	6	10	3
g19797.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g17165.t1	198	155	154	187	104	146	238	1139	2432	470	833	2362	1049	1520
g11278.t1	35	48	82	150	36	49	278	43	38	62	258	13	184	96
g17555.t1	1210	1793	1338	1541	1736	1035	1486	1284	861	1318	1011	372	862	1051
g18707.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g3581.t1	75	118	96	56	66	70	202	57	41	145	105	35	131	108
g12644.t1	57	55	43	38	41	31	68	45	65	37	57	8	48	24
g17141.t1	18	42	24	22	16	30	31	7	6	20	10	1	19	3
g12289.t1	10	10	21	34	9	12	48	10	9	36	57	15	64	26
g15114.t1	23	44	27	31	49	32	72	7	16	23	12	0	17	11
g9072.t1	133	177	239	234	696	262	303	209	86	388	220	383	369	159
g12116.t1	241	399	346	253	370	225	412	192	110	202	197	77	138	118
g5127.t1	22	33	39	19	17	22	47	39	15	43	58	35	43	42
g15083.t2	0	7	0	0	0	0	10	25	0	5	0	12	18	17
g23703.t1	15	66	152	63	60	50	75	98	20	48	56	98	59	115
g8561.t1	399	149	29	140	190	220	375	421	3	211	163	128	203	3
g11454.t1	118	135	144	108	128	158	239	48	29	47	54	11	28	34
g13999.t1	178	181	176	203	175	205	267	53	62	183	299	31	143	231
g10786.t1	13	16	10	12	2	13	40	2	4	14	7	1	6	2
g6776.t1	280	421	310	338	253	300	444	293	239	246	220	241	339	169
g16555.t1	135	204	276	132	283	106	228	163	664	317	300	607	472	377
g5827.t1	0	0	10	4	0	0	5	18	0	19	0	0	0	0
g10467.t1	400	679	568	419	261	261	1053	793	2977	3297	3385	3862	3736	3987
g2025.t1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
