PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g2889.t1	0	1	0	0	0	0	3	0
g16276.t1	0	2	2	0	0	0	7	0
g10877.t1	1	42	0	0	0	0	11	0
g733.t1	70	103	66	36	106	100	117	77
g18073.t1	30	4	15	74	51	50	17	87
g8431.t1	0	0	0	2	1	0	0	0
g6127.t1	1	13	4	10	26	3	3	12
g12777.t1	64	131	42	45	48	54	75	54
g21653.t2	0	0	0	0	0	0	0	0
g13692.t1	24	10	27	26	33	3	37	9
g15137.t1	57	36	61	58	48	22	64	45
g6193.t1	121	52	189	285	175	274	320	205
g3960.t2	99	20	6	0	0	39	0	36
g14400.t1	326	120	293	268	427	417	553	560
g18859.t1	3	3	0	0	1	0	0	2
g8313.t1	3	11	2	1	6	0	0	0
g17123.t1	73	9	29	39	203	260	339	740
g22996.t1	2	4	0	0	0	0	0	0
g10475.t1	7	22	3	7	19	2	12	4
g23830.t1	3633	955	3466	5528	3324	3662	3922	4648
g15116.t1	5	17	5	125	364	2	41	460
g21545.t1	2	140	8	22	11	6	17	0
g9387.t1	0	22	0	8	3	2	0	0
g23444.t1	22	0	0	16	47	0	0	0
g19511.t1	1	18	0	15	13	15	90	12
g16430.t1	0	2	1	0	0	0	0	0
g17202.t1	546	91	533	832	590	392	609	458
g17264.t1	39	38	47	32	33	2	22	16
g20641.t1	2	0	2	2	6	4	0	5
g4637.t1	333	271	201	1937	6847	198	528	5425
g15476.t1	0	6	1	36	9	0	18	9
g6380.t1	0	5	0	0	0	0	0	0
g17192.t1	26	21	42	22	25	16	33	16
g876.t1	2	25	4	4	6	5	12	1
g12499.t1	163	39	176	136	260	90	115	106
g19564.t2	0	3	0	0	0	0	0	0
g19506.t1	0	5	0	0	0	0	0	0
g20653.t1	0	0	0	0	0	0	0	0
g2120.t1	1	60	7	2	18	1	4	0
g16081.t1	0	11	0	0	0	0	0	0
g7410.t1	0	2	0	6	0	0	3	0
g1690.t1	3	13	3	12	11	4	8	0
g1281.t1	0	0	0	0	0	0	0	0
g13556.t1	0	5	0	1	0	0	0	0
g7814.t1	0	41	0	28	15	0	0	27
g15488.t1	0	2	1	4	6	1	15	2
g7814.t2	2	76	6	0	0	0	18	0
g5242.t1	92	24	66	91	167	70	122	134
g13043.t1	25	17	27	58	37	10	67	11
g1751.t1	193	78	199	81	122	89	54	81
g5312.t2	0	55	9	54	25	0	29	22
g19936.t1	121	65	218	222	212	131	194	140
g3725.t1	2	3	4	2	1	1	0	2
g22016.t1	0	8	0	13	34	1	5	31
g20677.t1	114	54	232	113	78	43	138	30
g2289.t1	1	2	0	2	2	0	2	5
g15083.t1	48	0	22	51	61	9	21	20
g22475.t1	12	16	46	445	437	45	194	442
g15727.t1	0	13	0	102	51	0	42	43
g20246.t1	15	25	0	0	0	0	26	0
g14221.t1	155	135	78	101	181	132	156	106
g19384.t1	14	8	29	26	28	11	41	12
g18295.t1	1610	278	1377	498	677	433	666	282
g7644.t1	1596	431	1285	3059	1794	841	1084	1574
g11254.t1	5	27	2	3	0	0	2	0
g19601.t1	69	24	83	98	64	191	175	159
g7443.t1	7	149	12	15	2	10	29	10
g9024.t2	0	82	43	0	45	63	47	14
g24053.t1	24	3	23	38	55	15	37	21
