gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
65	g10273.t2	77.1885223602955	-3.86985269218832	0.443917393511012	-8.71750633959407	2.84395894429212e-18	7.69113146997e-16	215	47	265	15	12	90	96	62	13	7	9	13	129	17	21
66	g10277.t1	84.3161184236317	-1.13441404306846	0.356665103582262	-3.18061405972907	0.00146963273256857	0.00806174040799215	112	104	145	70	63	82	86	55	59	39	94	60	69	79	35
67	g10278.t1	181.885941257456	-5.49629049337467	0.797552271521065	-6.89144861049963	5.52270730033199e-12	4.06656142187967e-10	36	9	696	4	8	31	36	595	6	13	7	16	155	14	330
68	g10279.t1	4233.76731897707	-7.18798566929128	0.68363181904716	-10.5144106359909	7.41429071533168e-26	5.94104368985929e-23	1942	151	4728	69	15	1980	2434	15033	56	65	87	99	8678	99	10734
69	g1028.t1	319.853239626317	-1.57870211901071	0.365708540414261	-4.31683142324873	1.58284949124094e-05	0.000190038561281897	566	112	540	142	187	143	262	491	225	164	254	167	354	293	426
70	g10280.t1	352.444822354865	-1.01193564198371	0.273926263139559	-3.69418992682768	0.000220588885234423	0.00171794115624433	504	103	546	437	258	290	339	349	320	214	229	239	525	384	409
71	g10281.t1	3530.08959470921	-1.01519746319941	0.23881857784772	-4.25091495120927	2.12899006683986e-05	0.000244483546157539	3643	1109	4025	2976	3350	5283	3066	4080	3449	3025	2332	2523	4658	3050	4515
72	g10284.t1	862.846301920516	-0.824865473738956	0.306362298626973	-2.69245098837476	0.00709289598676976	0.0281568448942686	915	150	985	655	643	969	808	1076	971	755	1031	597	1282	889	981
73	g10285.t1	40.330676110246	-2.3618195972965	0.787233125064234	-3.00015271474227	0.00269844275611806	0.0131399525160059	18	15	3	18	28	103	246	2	1	12	13	16	16	29	89
74	g1029.t1	12.3054850945447	1.44018926818515	0.478447284063759	3.01013155713353	0.00261134555853518	0.0127964804436939	4	12	3	18	23	6	7	0	30	17	25	16	7	41	3
75	g10298.t1	47.1773620097889	-5.94306680649912	0.711115848146571	-8.35738202430579	6.41253812497126e-17	1.2728005718693e-14	22	18	72	5	0	50	37	76	0	0	3	1	179	4	126
76	g10299.t1	9746.72300511985	-4.543135246037	0.435567916958354	-10.4303716347212	1.80182183237067e-25	1.29941384477798e-22	8900	953	21932	1129	700	16325	9376	13354	542	1221	776	955	27234	1586	22935
77	g10300.t1	183.09215498189	-1.00304861517077	0.358865509717613	-2.79505438112473	0.00518909855733687	0.0221519627640062	164	29	215	174	186	384	269	171	197	169	36	141	276	195	173
78	g10304.t1	40.4951279290045	-2.67683184250206	0.840092807220819	-3.18635253092752	0.00144078918403302	0.007923608031661	3	4	10	12	6	53	57	40	8	5	0	20	302	57	50
79	g10305.t1	19.831854261646	-3.28327703371562	0.896304462835469	-3.66312695055532	0.00024915497656892	0.00190207054272003	4	82	13	2	3	29	15	2	6	10	0	2	16	10	3
80	g10307.t1	12.7502134038644	-1.54402132509434	0.633312348344983	-2.43800918950861	0.0147683985691849	0.0496911824330193	5	26	6	9	14	29	25	2	4	8	1	6	13	17	7
81	g10308.t1	37.0397924089452	2.2050983527179	0.291746621355886	7.55826525931904	4.08480375987253e-14	4.77701239701849e-12	5	8	12	63	89	25	17	5	77	67	102	68	8	119	13
82	g1031.t1	68.311502389946	-3.11091800266478	0.52485629513752	-5.92718050918999	3.08180155402285e-09	1.19275092345768e-07	67	83	118	24	14	50	33	171	25	15	5	15	73	26	35
83	g10318.t1	8313.38245045703	-1.51014473873954	0.390221412958045	-3.86996891660043	0.00010884923047806	0.000961990645993805	26997	3724	14817	6283	4510	4404	7083	8142	4453	6029	4589	5417	6065	6489	6154
84	g10319.t1	214.545562290458	0.702953153670276	0.244026992673049	2.88063687533167	0.00396872587614664	0.017873310643304	275	50	119	337	280	254	148	55	345	298	436	320	172	443	105
85	g10320.t1	1148.39252190071	-2.95622368394418	0.514832867995435	-5.7421036373505	9.35075610899416e-09	3.11236320643213e-07	849	127	1536	510	180	800	1129	3157	420	350	205	249	2560	315	1686
86	g10321.t1	91.2898135041916	0.978034735405397	0.267112395031764	3.66151011183548	0.000250732962965403	0.00191276715576745	41	48	35	162	159	39	100	36	213	116	150	108	54	232	48
87	g10326.t1	7.17887015340157	-3.43537450839685	1.16482785417761	-2.94925511617532	0.00318540905781075	0.0150373827112668	0	16	0	1	2	39	13	0	0	2	0	2	10	4	4
88	g10338.t1	59.0677651134419	-2.07845746343598	0.403791708171847	-5.14735053091141	2.64191363437904e-07	5.80871966258035e-06	109	19	45	28	10	42	68	106	30	24	35	37	123	31	77
89	g1034.t1	65.7349474697678	-2.01798091755478	0.363757728189091	-5.547595999131	2.89624145565031e-08	8.64278398524061e-07	87	23	202	44	22	85	93	339	15	25	41	34	112	46	79
90	g1035.t1	80.159032553328	-2.82139921988613	0.706525398714727	-3.99334436528208	6.51478456506694e-05	0.000628107683000103	10	28	2	15	34	294	292	16	25	39	13	17	155	31	218
91	g10352.t1	7.42017377169528	-3.2805365170921	1.11968612954775	-2.92987153321006	0.00339102164253509	0.0157773662873649	0	7	0	0	5	8	11	18	3	3	0	0	4	1	23
92	g10353.t1	178.250758437753	-2.13179611147095	0.86705108160016	-2.45867418507416	0.0139451110339196	0.0475047200785469	52	111	8	79	128	15	1070	39	234	46	66	14	416	3	347
93	g1036.t1	66.3174809955558	1.33474464078769	0.529113160249837	2.52260714921066	0.0116488455662185	0.0412003880701549	35	58	20	158	129	10	63	2	109	98	90	135	27	171	16
94	g1037.t1	445.480007932796	-2.14784891016617	0.723985897835206	-2.96669992687492	0.00301014584748208	0.0144208382219386	154	31	86	124	113	763	589	230	110	59	207	637	379	145	2550
